Time,From,To,Amount
09/13/2013 06:20:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1DMDPCfiQ6JsFn1nM7PhtpHhja8gLZbFj5,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/13/2013 10:18:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1HBJ5vY4oPevcFysTdUZ4MaTKPBnEFr6qn,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/13/2013 04:09:00 PM,15UfvNCqHrDWyVtL26k6ky4gY8Ed9CZWou 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1GSZtXUeCV9N58FJ8V3EKFGgZhSThppycN,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/13/2013 07:18:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1PB8jKJfBe6boneQ6dZ5HSdWWKVQnhMLrJ 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1Di8zMVcAnLpi6BoFQwvSCWUfrbVgpTNF3 1MC2eg987Bng5Jt8NA6XWkh5TWdfeCkERt 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 15N1q3XkAZY8wtcDCKk35rhcCE9nKjdKs7 1M6gwzF7tjcg2noGHhvG81h44fY2k71y7v 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/13/2013 11:23:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1AF8AxzBP1rN1MMsAVbREu2mBP7dvaxNKD 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1LvUhgYSmYm52jpWpVXjkjPQx3yiDHFzew 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/14/2013 04:24:00 AM,1Fjh16F3zU3ttFEqTdmG8yY6G6KxionnzY 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/14/2013 09:18:00 AM,1DpwqSvsg9gzMz3xWeKo7c8ii4tGRyrRDu 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/14/2013 03:12:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/14/2013 09:07:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/14/2013 11:19:00 PM,1JNEExPgzCgWFcdqR7WV51Q8ja1waeXe4m 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
