Time,From,To,Amount
09/04/2012 11:54:36 AM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1N1U4nFNDpVEqZYthcbXNbL1Qq2KjQ1qB6,-2.99000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:54:36 AM,Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX,17gHPconrhA484rMj3VwVu7GvsEPdkBZpU,-8.24000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:54:36 AM,Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX,17DzAgWXRTW6KwC6Rf7UJSX128Rh9NSxvk,-15.20000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:54:36 AM,Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX,17PLpgPrncY4fd5AzgNPCtBwWswTCjnyHk,-15.24000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 12:04:11 PM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1NzX9H1r1CecMTfWBR9y5qdauyXGCBxUtg,-0.13000000
09/04/2012 12:04:11 PM,Coinlab,Miner Fee,-0.00050000
09/04/2012 12:04:11 PM,Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX,1FdDpVSC5mvFjU19Aqc4tDDY2YXrYCBdCb,-0.13000000
09/04/2012 12:04:11 PM,Coinlab,Miner Fee,-0.00050000
09/04/2012 12:04:11 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1LoCZHTpEVX58NHmhJork8VdAQ9mCaHiTm,-0.64000000
09/04/2012 12:04:11 PM,Coinlab,Miner Fee,-0.00050000
09/05/2012 12:13:02 PM,12ay6m2jEqyw3J72jsKBtzNpqZi33zVTcM 13HxZMsHEtfCdFuiLyvmhcCMfMeUTEFFzR 13HxZMsHEtfCdFuiLyvmhcCMfMeUTEFFzR 1MpsF34bgziWXyPfoD1m68YvUn4kqm2CWN,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,10.00000000
09/05/2012 12:58:50 PM,Block Reward,Coinlab: 1KQTpBcEFwf11w1T5CoKLPKwF92nEHzAzF,50.03910000
09/05/2012 04:46:56 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,19zGE87RBg9a8YUunASgVxmd7L95eiUNtb,-15.97000000
09/06/2012 03:29:24 PM,Block Reward,Coinlab: 1EgtwwZyKXhDajmPXcXDMUff1q1gc9CrYo,50.02007500
